patch_size,depth,num_heads,use_spt,use_lsa,finetune_mode,lr,weight_decay,proxy_epochs,val_acc,time_sec,params,fitness,generation,rank
16,10,6,0,0,last2,0.0001,0.0005,5,0.8132,225.85912823677063,18155236,0.5563612639210765,5,0
16,6,6,0,0,last2,0.0003,0.0001,5,0.6988,170.80719900131226,11057380,0.5312904669995626,5,1
16,6,6,0,1,last2,0.0001,0.0005,5,0.7014,256.23737049102783,11057416,0.5054133831696574,5,2
16,6,6,0,1,full,0.0001,0.0001,5,0.7214,438.6707212924957,11057416,0.4646022662358348,5,3
16,6,4,0,1,last2,0.0003,0.0001,5,0.6138,232.46474599838257,11057404,0.42573771133387245,5,4
16,8,8,0,0,full,0.0003,0.0001,5,0.705,406.2773435115814,14606308,0.4235111388294728,5,5
16,8,6,0,1,full,0.0003,0.0005,5,0.7286,571.728086233139,14606356,0.39196041125562037,5,6
16,10,4,0,1,full,0.0001,0.0001,5,0.7772,638.3107345104218,18155276,0.38287699516319273,5,7
16,6,6,0,0,full,0.001,0.0001,5,0.4806,300.70429968833923,11057380,0.2697914334372203,5,8
16,6,6,1,0,last2,0.001,0.0001,5,0.3932,187.91783380508423,12237796,0.2081827620649719,5,9
16,10,6,0,0,last2,0.0001,0.0001,5,0.8108,226.3310103416443,18155236,0.5538039698861186,6,0
16,6,6,0,0,last2,0.0003,0.0001,5,0.699,173.4489734172821,11057380,0.5306098755275727,6,1
16,6,6,0,0,full,0.0001,0.0001,5,0.728,298.0808861255646,11057380,0.5180659046248117,6,2
16,12,6,0,0,last2,0.0003,0.0001,5,0.8144,249.67604851722717,21704164,0.5141330104942576,6,3
16,6,6,0,1,last2,0.0001,0.0001,5,0.6982,247.7920424938202,11057416,0.5050284925020601,6,4
16,6,6,0,0,full,0.0003,0.0001,5,0.6752,305.1177890300751,11057380,0.4629202703233083,6,5
16,6,8,0,1,last2,0.0003,0.0001,5,0.646,271.9741973876953,11057428,0.4447676542041016,6,6
16,6,6,1,0,last2,0.001,0.0005,5,0.4002,185.69392466545105,12237796,0.2159240651115163,6,7
16,10,6,1,0,last2,0.001,0.0005,5,0.2814,243.85935854911804,19335652,0.0067570271502939705,6,8
16,10,6,1,1,last2,0.0001,0.0005,5,0.2978,361.6389284133911,19335712,-0.016103429471130346,6,9
16,6,6,0,0,last2,0.0003,0.0001,5,0.6924,167.68440318107605,11057380,0.5259313989396414,7,0
16,8,6,0,1,last2,0.0001,0.0005,5,0.77,294.82162261009216,14606356,0.525662565796636,7,1
16,10,6,0,1,last2,0.0003,0.0005,5,0.796,335.90268778800964,18155296,0.5024794774039968,7,2
16,6,6,0,1,full,0.0001,0.0001,5,0.7224,429.4498805999756,11057416,0.4686758798000082,7,3
16,10,8,0,0,full,0.0001,0.0001,5,0.7938,481.4013502597809,18155236,0.4517805232467397,7,4
16,10,6,0,1,full,0.0001,0.0001,5,0.8312,692.0303995609283,18155296,0.4189702401463573,7,5
16,10,4,0,0,last2,0.0003,0.0001,5,0.5752,231.96631407737732,18155236,0.316325535307541,7,6
16,10,4,0,0,last2,0.0001,0.0001,5,0.5744,230.684739112854,18155236,0.3159527269623821,7,7
16,8,6,1,1,last2,0.0001,0.0001,5,0.3398,315.32724118232727,15786772,0.07682319960589089,7,8
16,12,6,1,0,last2,0.0001,0.0005,5,0.2518,263.8304388523102,22884580,-0.06498927961743672,7,9
16,8,6,0,0,last2,0.0003,0.0005,5,0.7588,193.22980332374573,14606308,0.5483269855587515,8,0
16,6,6,0,0,last2,0.0001,0.0001,5,0.7032,168.0393261909485,11057380,0.5366130912696838,8,1
16,6,6,0,0,last2,0.0003,0.0001,5,0.6962,167.82412672042847,11057380,0.529684824426524,8,2
16,6,6,0,0,last2,0.0003,0.0005,5,0.6934,168.04972338676453,11057380,0.5268096255377451,8,3
16,8,8,0,0,full,0.0001,0.0005,5,0.7652,393.6337831020355,14606308,0.48792565896598816,8,4
16,8,6,1,1,full,0.0001,0.0005,5,0.59,587.8878502845764,15786772,0.23616966323847444,8,5
16,12,4,0,1,last2,0.0003,0.0005,5,0.5214,340.9501221179962,21704212,0.19070783929400123,8,6
16,8,6,1,0,last2,0.001,0.0001,5,0.3406,211.77100253105164,15786724,0.11214242582298281,8,7
16,8,8,1,1,last2,0.001,0.0005,5,0.3518,342.1681299209595,15786788,0.0798760766930135,8,8
16,12,6,1,1,full,0.001,0.0001,5,0.362,849.200845003128,22884652,-0.14991346833437602,8,9
16,10,6,0,0,last2,0.0003,0.0005,5,0.8052,218.76440238952637,18155236,0.5507261725368247,9,0
16,6,6,0,0,last2,0.0003,0.0005,5,0.6988,170.79442286491394,11057380,0.5312947257116953,9,1
16,6,6,0,0,full,0.0003,0.0001,5,0.671,297.36911821365356,11057380,0.4613031605954488,9,2
16,6,6,0,0,full,0.0003,0.0001,5,0.6678,296.8903138637543,11057380,0.45826276204541516,9,3
16,6,8,0,0,full,0.0003,0.0005,5,0.6634,307.2129023075104,11057380,0.4504218992308298,9,4
16,6,4,0,1,last2,0.0003,0.0005,5,0.617,226.01724934577942,11057404,0.4310868768847401,9,5
16,6,6,0,1,full,0.0003,0.0005,5,0.6688,431.1959583759308,11057416,0.41449385387468973,9,6
16,6,8,1,0,last2,0.001,0.0001,5,0.3864,207.06356048583984,12237796,0.1950008531713867,9,7
16,6,6,1,1,last2,0.0001,0.0005,5,0.385,268.01373291015625,12237832,0.17328376902994794,9,8
16,8,6,1,1,last2,0.0003,0.0001,5,0.3498,312.71085262298584,15786772,0.08769532912567136,9,9
