patch_size,depth,num_heads,use_spt,use_lsa,finetune_mode,lr,weight_decay,e,val_acc,time_sec,params,fitness,generation,rank
16,6,8,1,0,last2,0.0001,0.0001,2,0.7916049382716049,287.1060791015625,12203146,0.5738714519044175,0,0
16,8,8,0,0,last2,0.0001,0.0001,2,0.9706172839506173,288.94418597221375,14571658,0.7285859752932128,1,0
